subject,d_null_sham,d_null_real,diff_real_minus_sham
NODEAP_06,2.560490608215332,3.492675542831421,0.9321849346160889
NODEAP_07,2.6237101554870605,2.963660478591919,0.3399503231048584
NODEAP_08,1.8869338035583496,1.8605663776397705,-0.0263674259185791
NODEAP_09,1.7254447937011719,1.3020694255828857,-0.42337536811828613
NODEAP_10,1.6391255855560303,1.7938950061798096,0.1547694206237793
NODEAP_12,2.606907606124878,1.5161103010177612,-1.0907973051071167
NODEAP_13,2.3808934688568115,1.148079752922058,-1.2328137159347534
NODEAP_15,1.2781027555465698,1.9269294738769531,0.6488267183303833
NODEAP_16,0.921990156173706,2.1446564197540283,1.2226662635803223
NODEAP_17,2.4274892807006836,2.2313079833984375,-0.1961812973022461
NODEAP_24,2.1353085041046143,2.4869790077209473,0.351670503616333
NODEAP_26,2.0895321369171143,2.2226638793945312,0.133131742477417
NODEAP_30,3.5011751651763916,2.633111000061035,-0.8680641651153564
NODEAP_34,2.614919662475586,3.967379093170166,1.35245943069458
NODEAP_35,4.675868034362793,4.092363357543945,-0.5835046768188477
NODEAP_36,1.7601338624954224,0.5812271237373352,-1.1789067387580872
NODEAP_39,1.0498863458633423,1.5533292293548584,0.5034428834915161
NODEAP_41,2.150167465209961,2.2593441009521484,0.1091766357421875
NODEAP_43,1.8856227397918701,2.752826452255249,0.8672037124633789
NODEAP_44,1.4834765195846558,2.8208048343658447,1.337328314781189
NODEAP_45,2.4168641567230225,2.417908191680908,0.0010440349578857422
NODEAP_46,1.7539525032043457,3.200174331665039,1.4462218284606934
NODEAP_48,1.134539008140564,1.5917826890945435,0.4572436809539795
NODEAP_51,3.192620038986206,3.374191999435425,0.18157196044921875
NODEAP_53,1.241127610206604,1.4419890642166138,0.20086145401000977
NODEAP_55,1.3370083570480347,1.1395610570907593,-0.1974472999572754
NODEAP_56,1.2118529081344604,2.4092562198638916,1.1974033117294312
NODEAP_59,1.5262130498886108,1.069864273071289,-0.4563487768173218
NODEAP_60,1.1672002077102661,1.6333651542663574,0.4661649465560913
NODEAP_63,1.4279937744140625,1.6380631923675537,0.2100694179534912
NODEAP_64,1.0504471063613892,2.0846433639526367,1.0341962575912476
NODEAP_65,1.2861225605010986,0.8957486152648926,-0.39037394523620605
NODEAP_66,1.5151598453521729,2.404958486557007,0.889798641204834
NODEAP_68,1.9877063035964966,2.037571430206299,0.049865126609802246
NODEAP_70,2.2650625705718994,1.9792835712432861,-0.2857789993286133
NODEAP_73,2.907646417617798,3.322237491607666,0.41459107398986816
NODEAP_74,0.7406359314918518,1.5651047229766846,0.8244687914848328
NODEAP_76,1.1963224411010742,1.2075449228286743,0.011222481727600098
NODEAP_77,1.784318208694458,0.8457154035568237,-0.9386028051376343
NODEAP_78,0.5906854271888733,0.9130580425262451,0.3223726153373718
NODEAP_79,1.657860517501831,1.687177300453186,0.02931678295135498
NODEAP_80,4.043225288391113,3.5674092769622803,-0.475816011428833
NODEAP_83,1.9510399103164673,2.1403560638427734,0.18931615352630615
NODEAP_84,1.969107747077942,2.0468950271606445,0.07778728008270264
NODEAP_85,1.8370048999786377,1.5102589130401611,-0.32674598693847656
NODEAP_86,3.6171047687530518,2.6933271884918213,-0.9237775802612305
