latent_dim,t_stat,p_value,n_subjects,df_csv
2,-0.5301232830860331,0.5986326975762651,46,condition_distances_ld2.csv
4,-1.3502683949686716,0.18368224753333023,46,condition_distances_ld4.csv
8,-2.34896241419827,0.023276618319373246,46,condition_distances_ld8.csv
12,-2.4658388706467513,0.017546711240789065,46,condition_distances_ld12.csv
16,-2.2891561964867146,0.02681542613822528,46,condition_distances_ld16.csv
32,-2.078448329838436,0.04340008308302299,46,condition_distances_ld32.csv
