subject,d_null_sham,d_null_real,diff_real_minus_sham
NODEAP_06,2.932276725769043,4.084770679473877,1.152493953704834
NODEAP_07,2.9886646270751953,3.7615861892700195,0.7729215621948242
NODEAP_08,2.2996201515197754,2.5526833534240723,0.2530632019042969
NODEAP_09,2.0954372882843018,1.920910358428955,-0.17452692985534668
NODEAP_10,2.549581527709961,2.5413026809692383,-0.008278846740722656
NODEAP_12,3.4657230377197266,1.9363666772842407,-1.5293563604354858
NODEAP_13,3.111663818359375,2.197237253189087,-0.9144265651702881
NODEAP_15,1.9699162244796753,2.8467094898223877,0.8767932653427124
NODEAP_16,2.3558623790740967,3.648739814758301,1.292877435684204
NODEAP_17,3.2678632736206055,2.7142038345336914,-0.5536594390869141
NODEAP_24,3.2620363235473633,2.817352771759033,-0.4446835517883301
NODEAP_26,2.640770673751831,2.8726611137390137,0.23189043998718262
NODEAP_30,4.204041004180908,3.4660298824310303,-0.7380111217498779
NODEAP_34,3.313246726989746,4.620044708251953,1.306797981262207
NODEAP_35,5.088077545166016,4.3159284591674805,-0.7721490859985352
NODEAP_36,2.4609763622283936,2.1110799312591553,-0.3498964309692383
NODEAP_39,1.7718442678451538,2.854586362838745,1.0827420949935913
NODEAP_41,3.0857019424438477,3.631747245788574,0.5460453033447266
NODEAP_43,2.49416446685791,3.11211895942688,0.6179544925689697
NODEAP_44,2.5262529850006104,3.0390844345092773,0.512831449508667
NODEAP_45,2.971116781234741,2.785024642944336,-0.18609213829040527
NODEAP_46,2.88523530960083,3.294910430908203,0.40967512130737305
NODEAP_48,2.1096346378326416,2.2561686038970947,0.14653396606445312
NODEAP_51,3.6368892192840576,3.4194693565368652,-0.21741986274719238
NODEAP_53,2.4062764644622803,2.2858970165252686,-0.12037944793701172
NODEAP_55,2.055058717727661,2.8128607273101807,0.7578020095825195
NODEAP_56,2.484790086746216,3.4963037967681885,1.0115137100219727
NODEAP_59,2.624887704849243,2.9694197177886963,0.3445320129394531
NODEAP_60,2.181628704071045,2.5390212535858154,0.3573925495147705
NODEAP_63,2.3085689544677734,2.7613468170166016,0.4527778625488281
NODEAP_64,1.8998380899429321,2.593512535095215,0.6936744451522827
NODEAP_65,1.9049184322357178,1.8357752561569214,-0.06914317607879639
NODEAP_66,2.3191373348236084,3.3078510761260986,0.9887137413024902
NODEAP_68,2.1272969245910645,2.1913044452667236,0.06400752067565918
NODEAP_70,2.553269147872925,2.8427248001098633,0.2894556522369385
NODEAP_73,3.394003391265869,3.797851800918579,0.40384840965270996
NODEAP_74,1.2577067613601685,1.997435212135315,0.7397284507751465
NODEAP_76,1.630715250968933,2.024439573287964,0.39372432231903076
NODEAP_77,3.2360785007476807,2.5119175910949707,-0.72416090965271
NODEAP_78,1.2642508745193481,2.105501651763916,0.8412507772445679
NODEAP_79,2.1795096397399902,2.511705160140991,0.332195520401001
NODEAP_80,4.3790812492370605,3.830369234085083,-0.5487120151519775
NODEAP_83,2.365039825439453,2.790907621383667,0.42586779594421387
NODEAP_84,2.8744568824768066,3.294499635696411,0.4200427532196045
NODEAP_85,2.7511374950408936,2.7163734436035156,-0.03476405143737793
NODEAP_86,4.1998610496521,2.7210049629211426,-1.478856086730957
