subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,3.7450306
NODEAP_06,2,S,S1D2,5.230032
NODEAP_06,3,S,S2D1,3.0147028
NODEAP_06,4,C,S2D2,4.6145906
NODEAP_06,5,C,S3D1,4.392627
NODEAP_06,6,S,S3D2,4.1876974
NODEAP_07,8,S,S1D1,3.7069838
NODEAP_07,9,S,S1D2,2.7902648
NODEAP_07,10,C,S2D1,3.526423
NODEAP_07,11,S,S2D2,6.7662544
NODEAP_07,12,S,S3D1,4.376802
NODEAP_07,13,C,S3D2,4.5325875
NODEAP_08,15,C,S1D1,1.947951
NODEAP_08,16,S,S1D2,2.6365075
NODEAP_08,17,S,S2D1,2.358529
NODEAP_08,18,S,S2D2,3.0037017
NODEAP_08,19,S,S3D1,4.11902
NODEAP_08,20,C,S3D2,3.4538515
NODEAP_09,22,S,S1D1,1.9188341
NODEAP_09,23,S,S1D2,2.7375278
NODEAP_09,24,S,S2D1,4.133655
NODEAP_09,25,C,S2D2,1.4925141
NODEAP_09,26,C,S3D1,3.2151003
NODEAP_09,27,S,S3D2,3.7079751
NODEAP_10,29,S,S1D1,3.7291284
NODEAP_10,30,S,S1D2,3.1708744
NODEAP_10,31,S,S2D1,2.3994503
NODEAP_10,32,C,S2D2,3.1592116
NODEAP_10,33,C,S3D1,2.5313148
NODEAP_10,34,S,S3D2,2.6097836
NODEAP_12,36,C,S1D1,2.902888
NODEAP_12,37,S,S1D2,6.101197
NODEAP_12,38,S,S2D1,5.161461
NODEAP_12,39,C,S2D2,2.3893547
NODEAP_12,40,S,S3D1,3.8447514
NODEAP_12,41,S,S3D2,1.9061455
NODEAP_13,43,S,S1D1,4.489058
NODEAP_13,44,C,S1D2,2.985637
NODEAP_13,45,S,S2D1,3.3678062
NODEAP_13,46,S,S2D2,7.011923
NODEAP_13,47,C,S3D1,2.825952
NODEAP_13,48,S,S3D2,2.9538326
NODEAP_15,50,S,S1D1,3.4944813
NODEAP_15,51,C,S1D2,3.758671
