subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,2.973654
NODEAP_06,2,S,S1D2,1.6490817
NODEAP_06,3,S,S2D1,4.554009
NODEAP_06,4,C,S2D2,2.9613614
NODEAP_06,5,C,S3D1,3.5448465
NODEAP_06,6,S,S3D2,3.1867168
NODEAP_07,8,S,S1D1,2.1232305
NODEAP_07,9,S,S1D2,3.8753037
NODEAP_07,10,C,S2D1,2.21023
NODEAP_07,11,S,S2D2,10.473473
NODEAP_07,12,S,S3D1,3.1448548
NODEAP_07,13,C,S3D2,2.0501685
NODEAP_08,15,C,S1D1,3.9946697
NODEAP_08,16,S,S1D2,4.1269107
NODEAP_08,17,S,S2D1,3.6742852
NODEAP_08,18,S,S2D2,4.4103494
NODEAP_08,19,S,S3D1,4.0439763
NODEAP_08,20,C,S3D2,3.5058846
NODEAP_09,22,S,S1D1,4.568006
NODEAP_09,23,S,S1D2,3.877018
NODEAP_09,24,S,S2D1,2.714864
NODEAP_09,25,C,S2D2,1.831465
NODEAP_09,26,C,S3D1,3.4353366
NODEAP_09,27,S,S3D2,2.790317
NODEAP_10,29,S,S1D1,3.0089
NODEAP_10,30,S,S1D2,2.0444014
NODEAP_10,31,S,S2D1,2.1719024
NODEAP_10,32,C,S2D2,3.168326
NODEAP_10,33,C,S3D1,2.6235528
NODEAP_10,34,S,S3D2,2.3836756
NODEAP_12,36,C,S1D1,2.2386258
NODEAP_12,37,S,S1D2,3.2324607
NODEAP_12,38,S,S2D1,5.742329
NODEAP_12,39,C,S2D2,2.657533
NODEAP_12,40,S,S3D1,3.9466834
NODEAP_12,41,S,S3D2,3.59643
NODEAP_13,43,S,S1D1,5.4482346
NODEAP_13,44,C,S1D2,4.2293363
NODEAP_13,45,S,S2D1,3.9417286
NODEAP_13,46,S,S2D2,5.1841745
NODEAP_13,47,C,S3D1,4.5996227
NODEAP_13,48,S,S3D2,5.290378
NODEAP_15,50,S,S1D1,2.7950091
NODEAP_15,51,C,S1D2,2.1123383
NODEAP_15,52,S,S2D1,3.4298844
NODEAP_15,53,S,S2D2,2.031629
NODEAP_15,54,C,S3D1,2.4044814
NODEAP_15,55,S,S3D2,3.808921
NODEAP_16,57,S,S1D1,3.3023021
NODEAP_16,58,C,S1D2,2.679704
NODEAP_16,59,S,S2D1,2.201868
NODEAP_16,60,S,S2D2,2.6741807
NODEAP_16,61,C,S3D1,2.9707763
NODEAP_16,62,S,S3D2,2.77837
NODEAP_17,64,S,S1D1,2.8346133
NODEAP_17,65,C,S1D2,1.7782947
NODEAP_17,66,C,S2D1,2.561139
NODEAP_17,67,S,S2D2,2.6250381
NODEAP_17,68,S,S3D1,3.157464
NODEAP_17,69,S,S3D2,2.6571841
NODEAP_24,71,S,S1D1,4.53166
NODEAP_24,72,S,S1D2,3.228345
NODEAP_24,73,S,S2D1,2.9849327
NODEAP_24,74,C,S2D2,2.8791404
NODEAP_24,75,C,S3D1,4.588536
NODEAP_24,76,S,S3D2,4.017474
NODEAP_26,78,S,S1D1,3.5129561
NODEAP_26,79,C,S1D2,5.2279706
NODEAP_26,80,C,S2D1,3.578276
NODEAP_26,81,S,S2D2,4.909282
NODEAP_26,82,S,S3D1,1.9144704
NODEAP_26,83,S,S3D2,1.9455816
NODEAP_30,85,S,S1D1,2.9320788
NODEAP_30,86,C,S1D2,2.8025815
NODEAP_30,87,C,S2D1,3.1870844
NODEAP_30,88,S,S2D2,2.6994789
NODEAP_30,89,S,S3D1,3.2468507
NODEAP_34,91,C,S1D1,3.4596906
NODEAP_34,92,S,S1D2,3.3120108
NODEAP_34,93,S,S2D1,2.7064745
NODEAP_34,94,S,S2D2,4.1626983
NODEAP_34,95,S,S3D1,2.932044
NODEAP_34,96,C,S3D2,2.2671783
NODEAP_35,98,C,S1D1,1.6589843
NODEAP_35,99,S,S1D2,1.5424728
NODEAP_35,100,S,S2D1,3.0814664
NODEAP_35,101,C,S2D2,2.7632344
NODEAP_35,102,S,S3D1,4.450712
NODEAP_35,103,S,S3D2,4.450712
NODEAP_36,105,C,S1D1,7.9676213
NODEAP_36,106,S,S1D2,7.151794
NODEAP_36,107,S,S2D1,5.3496094
NODEAP_36,108,C,S2D2,6.5273275
NODEAP_36,109,S,S3D1,4.3965306
NODEAP_36,110,S,S3D2,7.871809
NODEAP_39,112,S,S1D1,3.0636759
NODEAP_39,113,S,S1D2,2.501982
NODEAP_39,114,S,S2D1,3.348519
NODEAP_39,115,C,S2D2,2.595308
NODEAP_39,116,C,S3D1,3.3171458
NODEAP_39,117,S,S3D2,2.0297039
NODEAP_41,119,S,S1D1,5.1412306
NODEAP_41,120,C,S1D2,4.344716
NODEAP_41,121,C,S2D1,5.2068195
NODEAP_41,122,S,S2D2,5.931484
NODEAP_41,123,S,S3D1,4.212159
NODEAP_41,124,S,S3D2,5.880433
NODEAP_43,126,C,S1D1,5.5473924
NODEAP_43,127,S,S1D2,2.3799028
NODEAP_43,128,S,S2D1,4.0039086
NODEAP_43,129,C,S2D2,2.6232274
NODEAP_43,130,S,S3D1,4.211603
NODEAP_43,131,S,S3D2,3.6520457
NODEAP_44,133,S,S1D2,1.1814677
NODEAP_44,134,S,S2D1,2.2919075
NODEAP_44,135,S,S2D2,2.2473981
NODEAP_44,136,S,S3D1,2.9420075
NODEAP_44,137,C,S3D2,2.5217762
NODEAP_45,139,S,S1D1,2.959786
NODEAP_45,140,S,S1D2,3.90794
NODEAP_45,141,C,S2D1,3.9057481
NODEAP_45,142,S,S2D2,4.972834
NODEAP_45,143,S,S3D1,2.6135445
NODEAP_45,144,C,S3D2,3.222698
NODEAP_46,146,S,S1D1,3.412937
NODEAP_46,147,C,S1D2,5.3426604
NODEAP_46,148,C,S2D1,3.7667434
NODEAP_46,149,S,S2D2,4.595716
NODEAP_46,150,S,S3D1,4.220812
NODEAP_46,151,S,S3D2,3.2934453
NODEAP_48,153,C,S1D1,3.3671713
NODEAP_48,154,S,S1D2,2.612712
NODEAP_48,155,S,S2D1,3.5724921
NODEAP_48,156,C,S2D2,4.5242295
NODEAP_48,157,S,S3D1,2.9119315
NODEAP_48,158,S,S3D2,3.1223798
NODEAP_51,160,S,S1D1,5.70709
NODEAP_51,161,S,S1D2,4.0627866
NODEAP_51,162,S,S2D1,4.506052
NODEAP_51,163,C,S2D2,5.741349
NODEAP_51,164,C,S3D1,3.7112052
NODEAP_51,165,S,S3D2,4.6297226
NODEAP_53,167,S,S1D1,1.9717727
NODEAP_53,168,C,S1D2,4.106931
NODEAP_53,169,S,S2D1,3.1672099
NODEAP_53,170,S,S2D2,2.9701526
NODEAP_53,171,C,S3D1,3.14326
NODEAP_53,172,S,S3D2,1.899833
NODEAP_55,174,S,S1D1,3.5147731
NODEAP_55,175,S,S1D2,3.332001e-08
NODEAP_55,176,C,S2D1,3.2418098
NODEAP_55,177,S,S2D2,3.7945938
NODEAP_55,178,S,S3D1,4.3818417
NODEAP_55,179,C,S3D2,4.6227407
NODEAP_56,181,S,S1D1,1.8390405
NODEAP_56,182,S,S1D2,2.833049
NODEAP_56,183,S,S2D1,2.9197516
