subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,2.6992338
NODEAP_06,2,S,S1D2,4.2124653
NODEAP_06,3,S,S2D1,3.190562
NODEAP_06,4,C,S2D2,3.7529066
NODEAP_06,5,C,S3D1,2.2703278
NODEAP_06,6,S,S3D2,1.8851637
NODEAP_07,8,S,S1D1,3.4129372
NODEAP_07,9,S,S1D2,3.6510432
NODEAP_07,10,C,S2D1,3.0695095
NODEAP_07,11,S,S2D2,8.684386
NODEAP_07,12,S,S3D1,3.3708217
NODEAP_07,13,C,S3D2,2.3984494
NODEAP_08,15,C,S1D1,4.1804986
NODEAP_08,16,S,S1D2,3.1359994
NODEAP_08,17,S,S2D1,3.0344634
NODEAP_08,18,S,S2D2,4.288065
NODEAP_08,19,S,S3D1,2.4276643
NODEAP_08,20,C,S3D2,2.4116833
NODEAP_09,22,S,S1D1,3.5945997
NODEAP_09,23,S,S1D2,3.4839091
NODEAP_09,24,S,S2D1,5.063132
NODEAP_09,25,C,S2D2,1.9125198
NODEAP_09,26,C,S3D1,2.7531598
NODEAP_09,27,S,S3D2,3.4755497
NODEAP_10,29,S,S1D1,3.256696
NODEAP_10,30,S,S1D2,3.4435194
NODEAP_10,31,S,S2D1,2.9213827
NODEAP_10,32,C,S2D2,2.6253238
NODEAP_10,33,C,S3D1,2.2997446
NODEAP_10,34,S,S3D2,3.578842
NODEAP_12,36,C,S1D1,3.893285
NODEAP_12,37,S,S1D2,3.951004
NODEAP_12,38,S,S2D1,4.459698
NODEAP_12,39,C,S2D2,3.4204185
NODEAP_12,40,S,S3D1,6.312535
NODEAP_12,41,S,S3D2,5.912602
NODEAP_13,43,S,S1D1,3.6850767
NODEAP_13,44,C,S1D2,2.4923103
NODEAP_13,45,S,S2D1,1.5767341
NODEAP_13,46,S,S2D2,2.4026263
NODEAP_13,47,C,S3D1,4.112258
NODEAP_13,48,S,S3D2,3.2752988
NODEAP_15,50,S,S1D1,2.443042
NODEAP_15,51,C,S1D2,2.651196
NODEAP_15,52,S,S2D1,2.0529766
NODEAP_15,53,S,S2D2,3.8981917
NODEAP_15,54,C,S3D1,4.3648934
NODEAP_15,55,S,S3D2,4.3731503
NODEAP_16,57,S,S1D1,1.9231476
NODEAP_16,58,C,S1D2,2.641107
NODEAP_16,59,S,S2D1,2.64868
NODEAP_16,60,S,S2D2,2.3117723
NODEAP_16,61,C,S3D1,2.360943
NODEAP_16,62,S,S3D2,2.9720223
NODEAP_17,64,S,S1D1,2.9330015
NODEAP_17,65,C,S1D2,2.3129642
NODEAP_17,66,C,S2D1,2.964323
NODEAP_17,67,S,S2D2,4.1473856
NODEAP_17,68,S,S3D1,3.4444082
NODEAP_17,69,S,S3D2,2.4430075
NODEAP_24,71,S,S1D1,2.5749247
NODEAP_24,72,S,S1D2,2.6343763
NODEAP_24,73,S,S2D1,2.8320024
NODEAP_24,74,C,S2D2,3.104453
NODEAP_24,75,C,S3D1,3.2702587
NODEAP_24,76,S,S3D2,3.0176702
NODEAP_26,78,S,S1D1,1.5863779
NODEAP_26,79,C,S1D2,4.0460205
NODEAP_26,80,C,S2D1,1.8363068
NODEAP_26,81,S,S2D2,1.9593642
NODEAP_26,82,S,S3D1,2.280025
NODEAP_26,83,S,S3D2,2.5332046
NODEAP_30,85,S,S1D1,2.6634502
NODEAP_30,86,C,S1D2,1.8271753
NODEAP_30,87,C,S2D1,3.4549685
NODEAP_30,88,S,S2D2,3.2400522
NODEAP_30,89,S,S3D1,2.043526
NODEAP_34,91,C,S1D1,2.5197167
NODEAP_34,92,S,S1D2,2.918061
NODEAP_34,93,S,S2D1,2.2936385
NODEAP_34,94,S,S2D2,2.0951703
NODEAP_34,95,S,S3D1,3.6018097
NODEAP_34,96,C,S3D2,2.4323685
NODEAP_35,98,C,S1D1,2.2454247
NODEAP_35,99,S,S1D2,2.270686
NODEAP_35,100,S,S2D1,3.3003848
NODEAP_35,101,C,S2D2,2.3070016
NODEAP_35,102,S,S3D1,2.2403376
NODEAP_35,103,S,S3D2,2.2403376
NODEAP_36,105,C,S1D1,4.3594933
NODEAP_36,106,S,S1D2,4.578064
NODEAP_36,107,S,S2D1,3.5396614
NODEAP_36,108,C,S2D2,4.9121084
NODEAP_36,109,S,S3D1,2.805664
NODEAP_36,110,S,S3D2,4.340599
NODEAP_39,112,S,S1D1,2.413581
NODEAP_39,113,S,S1D2,3.0536447
NODEAP_39,114,S,S2D1,2.8463538
NODEAP_39,115,C,S2D2,3.1667914
NODEAP_39,116,C,S3D1,3.2693114
NODEAP_39,117,S,S3D2,2.2492547
NODEAP_41,119,S,S1D1,2.3056972
NODEAP_41,120,C,S1D2,1.7486172
NODEAP_41,121,C,S2D1,1.5120919
NODEAP_41,122,S,S2D2,3.672809
NODEAP_41,123,S,S3D1,2.8299344
NODEAP_41,124,S,S3D2,3.6533751
NODEAP_43,126,C,S1D1,3.05418
NODEAP_43,127,S,S1D2,3.4667614
NODEAP_43,128,S,S2D1,2.9890165
NODEAP_43,129,C,S2D2,4.223798
NODEAP_43,130,S,S3D1,2.2132819
NODEAP_43,131,S,S3D2,2.3073916
NODEAP_44,133,S,S1D2,4.6486206
NODEAP_44,134,S,S2D1,3.1836
NODEAP_44,135,S,S2D2,5.2474213
NODEAP_44,136,S,S3D1,5.6516933
NODEAP_44,137,C,S3D2,3.8387947
