subject,index,condition,session,distance_to_null
NODEAP_45,143,S,S3D1,2.2338014
NODEAP_45,144,C,S3D2,2.1709118
NODEAP_46,146,S,S1D1,2.3274972
NODEAP_46,147,C,S1D2,1.8628151
NODEAP_46,148,C,S2D1,2.8056996
NODEAP_46,149,S,S2D2,2.7293115
NODEAP_46,150,S,S3D1,2.9333298
NODEAP_46,151,S,S3D2,2.2580464
NODEAP_48,153,C,S1D1,2.420082
NODEAP_48,154,S,S1D2,2.906276
NODEAP_48,155,S,S2D1,2.03205
NODEAP_48,156,C,S2D2,4.545221
NODEAP_48,157,S,S3D1,1.4463589
NODEAP_48,158,S,S3D2,3.1181796
NODEAP_51,160,S,S1D1,7.111145
NODEAP_51,161,S,S1D2,3.2431762
NODEAP_51,162,S,S2D1,4.5087624
NODEAP_51,163,C,S2D2,2.936123
NODEAP_51,164,C,S3D1,5.469091
NODEAP_51,165,S,S3D2,4.150041
NODEAP_53,167,S,S1D1,3.1471639
NODEAP_53,168,C,S1D2,3.4983413
NODEAP_53,169,S,S2D1,2.771379
NODEAP_53,170,S,S2D2,2.772486
NODEAP_53,171,C,S3D1,3.8021595
NODEAP_53,172,S,S3D2,2.099124
NODEAP_55,174,S,S1D1,2.411996
NODEAP_55,175,S,S1D2,1.2644054e-07
NODEAP_55,176,C,S2D1,1.8165764
NODEAP_55,177,S,S2D2,3.174018
NODEAP_55,178,S,S3D1,2.8601465
NODEAP_55,179,C,S3D2,3.033627
NODEAP_56,181,S,S1D1,1.5328816
NODEAP_56,182,S,S1D2,2.8596065
NODEAP_56,183,S,S2D1,1.3158131
NODEAP_56,184,C,S2D2,2.0819933
NODEAP_56,185,C,S3D1,3.045923
NODEAP_56,186,S,S3D2,2.5788853
NODEAP_59,188,S,S1D1,6.272883
NODEAP_59,189,C,S1D2,5.4010515
NODEAP_59,190,C,S2D1,4.5134616
NODEAP_59,191,S,S2D2,4.82571
NODEAP_59,192,S,S3D1,4.09458
NODEAP_59,193,S,S3D2,4.5323277
NODEAP_60,195,C,S1D1,1.7735184
NODEAP_60,196,S,S1D2,3.1021466
NODEAP_60,197,S,S2D1,4.737581
NODEAP_60,198,S,S2D2,4.7848063
NODEAP_60,199,S,S3D1,2.2094176
NODEAP_60,200,C,S3D2,2.8879218
NODEAP_63,202,S,S1D1,2.6301253
NODEAP_63,203,S,S1D2,5.060259
NODEAP_63,204,C,S2D1,2.5784054
NODEAP_63,205,S,S2D2,4.040253
NODEAP_63,206,S,S3D1,2.788783
NODEAP_63,207,C,S3D2,2.8292503
NODEAP_64,209,C,S1D1,3.5075006
NODEAP_64,210,S,S1D2,3.0547652
NODEAP_64,211,S,S2D1,2.1441965
NODEAP_64,212,S,S2D2,3.6518817
NODEAP_64,213,S,S3D1,2.338308
NODEAP_64,214,C,S3D2,3.548437
NODEAP_65,216,C,S1D1,2.2399936
NODEAP_65,217,S,S1D2,3.365586
NODEAP_65,218,S,S2D1,4.061929
NODEAP_65,219,C,S2D2,2.706431
NODEAP_65,220,S,S3D1,1.8016895
NODEAP_65,221,S,S3D2,2.9999661
NODEAP_66,223,S,S1D1,2.081606
NODEAP_66,224,C,S1D2,4.0276704
NODEAP_66,225,C,S2D1,3.2196963
NODEAP_66,226,S,S2D2,3.1395042
NODEAP_66,227,S,S3D1,2.785914
NODEAP_66,228,S,S3D2,2.4238365
NODEAP_68,230,C,S1D1,2.0030944
NODEAP_68,231,S,S1D2,2.6033027
NODEAP_68,232,S,S2D1,2.4529405
NODEAP_68,233,S,S2D2,2.4170823
NODEAP_68,234,S,S3D1,1.8981216
NODEAP_68,235,C,S3D2,3.6949904
NODEAP_70,237,S,S1D1,3.6176245
NODEAP_70,238,S,S1D2,3.513236
NODEAP_70,239,C,S2D1,3.7430813
NODEAP_70,240,S,S2D2,3.8369331
NODEAP_70,241,S,S3D1,3.8678699
