latent_dim,t_stat,p_value,n_subjects,df_csv
2,-0.7820537822385202,0.4382787656342132,46,condition_distances_ld2.csv
4,-1.4221596038578674,0.16187468048881953,46,condition_distances_ld4.csv
8,-2.1220568885809663,0.03937164996403063,46,condition_distances_ld8.csv
12,-2.490991814653584,0.016494604123206243,46,condition_distances_ld12.csv
16,-3.211677094513381,0.0024384254935238625,46,condition_distances_ld16.csv
